day,subscribersGained,subscribersLost,views
2022-05-26,3,0,199
2022-05-25,48,2,204
2022-05-24,11,1,178
2022-05-23,16,1,234
2022-05-22,11,0,162
2022-05-21,2,0,152
2022-05-20,2,0,170
2022-05-19,2,0,144
2022-05-18,0,1,206
2022-05-17,0,1,205
2022-05-16,14,0,266
2022-05-15,7,7,214
2022-05-14,4,1,125
2022-05-13,2,0,156
2022-05-12,0,1,211
2022-05-11,8,0,287
2022-05-10,19,9,263
2022-05-09,33,15,318
2022-05-08,144,142,235
2022-05-07,55,3,221
2022-05-06,3,0,117
2022-05-05,5,3,240
2022-05-04,1,1,206
2022-05-03,11,5,204
2022-05-02,1,0,102
2022-05-01,0,0,97
2022-04-30,2,0,157
2022-04-29,0,0,168
2022-04-28,0,0,161
2022-04-27,3,0,168
2022-04-26,2,0,194
2022-04-25,0,0,174
2022-04-24,1,0,112
2022-04-23,0,0,117
2022-04-22,1,0,106
2022-04-21,1,0,163
2022-04-20,1,0,154
2022-04-19,1,2,158
2022-04-18,1,0,150
2022-04-17,1,0,146
2022-04-16,0,0,115
2022-04-15,7,0,162
2022-04-14,1,0,192
2022-04-13,7,1,217
2022-04-12,12,1,230
2022-04-11,11,1,249
2022-04-10,6,1,234
2022-04-09,6,0,167
2022-04-08,9,0,195
2022-04-07,8,2,281
2022-04-06,17,1,265
2022-04-05,9,0,239
2022-04-04,15,7,180
2022-04-03,13,0,144
2022-04-02,4,0,130
2022-04-01,0,0,128
2022-03-31,2,1,154
2022-03-30,1,0,190
2022-03-29,1,1,182
2022-03-28,1,0,144
2022-03-27,3,0,151
2022-03-26,1,0,141
2022-03-25,2,0,130
2022-03-24,1,0,165
2022-03-23,1,0,157
2022-03-22,2,0,145
2022-03-21,1,0,153
2022-03-20,1,0,129
2022-03-19,3,1,116
2022-03-18,2,0,100
2022-03-17,1,1,110
2022-03-16,4,0,207
2022-03-15,1,0,159
2022-03-14,5,0,160
2022-03-13,3,1,139
2022-03-12,0,0,103
2022-03-11,0,0,119
2022-03-10,0,0,168
2022-03-09,2,0,170
2022-03-08,1,0,165
2022-03-07,4,0,131
2022-03-06,0,0,105
2022-03-05,0,0,106
2022-03-04,0,0,102
2022-03-03,2,1,109
2022-03-02,2,0,148
2022-03-01,2,0,154
2022-02-28,1,0,104
2022-02-27,0,0,91
2022-02-26,0,0,72
2022-02-25,1,0,110
2022-02-24,1,0,111
2022-02-23,3,0,143
2022-02-22,1,0,109
